SHIPMENT DATE,S/ZIP,Lat,Long,C/ZIP,Lat,Long,PIECES,WEIGHT,EQUIPMENT,BILLED,C/ZIP3,FedEx Zone,Origin Facility,Distance/Miles,$ / Mile
01-29-2020,17601,40.072246,-76.3155,11379,40.716028,-73.87925,6,9723,LTL,1180.33,113,2,Lancaster,136, $8.70 
09-01-2020,17601,40.032664,-76.27575,17402,39.952198,-76.71328,3,6390,LTL,170.86,174,2,Lancaster,24, $7.17 
06-23-2021,17601,40.03263,-76.33328,17402,39.962821,-76.76764,9,22000,Van,1100,174,2,Lancaster,23, $46.83 
01-15-2020,17601,40.065096,-76.335631,17543,40.154498,-76.08756,20,36458,FTL,700,175,2,Lancaster,14, $48.30 
02-27-2020,17601,40.0185,-76.297582,17601,40.0185,-76.297582,1,1200,LTL,185.85,176,2,Lancaster,0,#DIV/0!
01-08-2021,17601,40.110201,-76.305378,6820,41.061296,-73.65866,3,1704,LTL,415.91,68,2,Lancaster,154, $2.71 
02-17-2020,17601,40.0185,-76.297582,6824,41.308873,-73.363661,1,666,LTL,496.54,68,2,Lancaster,178, $2.79 
07-09-2020,17601,40.0185,-76.297582,6824,41.150146,-73.49178,5,11229,LTL,866.26,68,2,Lancaster,167, $5.20 
07-02-2020,17601,40.0185,-76.297582,6829,41.134896,-73.4053,7,1205,LTL,398.28,68,2,Lancaster,170, $2.34 
03-23-2020,17601,41.256736,-77.0108,6830,41.066196,-73.43819,5,11832,LTL,578.27,68,2,Lancaster,186, $3.10 
02-11-2021,17601,41.222128,-77.02267,6830,41.092196,-73.42869,13,28376,FTL,1700,68,2,Lancaster,187, $9.08 
01-27-2021,17601,41.33275,-77.023601,6854,41.034264,-73.5842,8,13211,LTL,997.01,68,2,Lancaster,180, $5.54 
05-07-2021,17601,41.33275,-77.023601,6854,41.308873,-73.363661,11,21178,FTL,1425,68,2,Lancaster,190, $7.50 
02-24-2021,17601,41.186545,-77.218368,6902,41.051551,-73.514344,2,1769,LTL,253.2,69,2,Lancaster,193, $1.31 
02-04-2020,17601,41.186038,-77.31604,6902,41.308873,-73.363661,3,1276,LTL,217.2,69,2,Lancaster,205, $1.06 
07-15-2021,17601,41.33275,-77.023601,6907,40.666552,-74.11768,4,7306,LTL,576.75,69,2,Lancaster,158, $3.64 
02-08-2021,17601,41.33275,-77.023601,7002,40.75555,-74.21897,2,2656,LTL,400.19,70,2,Lancaster,151, $2.64 
03-26-2020,17601,41.649813,-76.82304,7005,40.816737,-74.00082,1,198,LTL,225.21,70,2,Lancaster,158, $1.43 
04-20-2021,17601,41.122741,-77.431745,7010,40.745951,-74.15509,1,944,LTL,440.74,70,2,Lancaster,173, $2.55 
10-26-2020,17601,41.33275,-77.023601,7020,40.81315,-74.21576,1,1071,LTL,223.95,70,2,Lancaster,151, $1.49 
02-09-2021,17601,41.318934,-77.08211,7026,40.7683,-74.23603,1,730,LTL,394.66,70,2,Lancaster,153, $2.58 
07-15-2021,17601,41.493592,-77.78665,7032,40.633652,-74.5008,2,3002,LTL,394.55,70,2,Lancaster,181, $2.18 
12-09-2020,17601,41.109525,-76.87893,7032,40.620102,-74.42481,2,5356,LTL,483.23,70,2,Lancaster,133, $3.64 
02-17-2020,17601,41.414864,-76.58391,7032,40.665651,-74.299692,6,10870,LTL,938.02,70,2,Lancaster,130, $7.23 
06-25-2021,17601,41.77197,-76.521266,7036,40.620336,-74.30934,4,500,LTL,238.42,70,2,Lancaster,140, $1.70 
07-01-2020,17601,41.268721,-76.69048,7042,40.808416,-74.12111,4,5146,LTL,634.17,70,2,Lancaster,138, $4.61 
04-28-2021,17601,41.335148,-77.64014,7044,40.841668,-74.059,1,343,LTL,322.36,70,2,Lancaster,190, $1.70 
05-18-2021,17601,41.357921,-77.40671,7045,40.637152,-74.37493,1,402,LTL,490,70,2,Lancaster,166, $2.96 
07-28-2020,17601,41.209389,-77.25975,7054,40.695401,-74.26933,1,1418,LTL,260.17,70,2,Lancaster,160, $1.63 
09-16-2020,17601,41.229164,-77.28278,7054,40.769796,-74.022351,2,3087,LTL,368.15,70,2,Lancaster,173, $2.13 
10-09-2020,17601,41.232059,-76.6084,7054,40.767751,-74.0302,3,2929,LTL,355.05,70,2,Lancaster,138, $2.57 
06-19-2020,17601,41.77197,-76.521266,7054,40.718401,-74.28416,5,5002,LTL,405.96,70,2,Lancaster,137, $2.96 
03-04-2021,17601,41.239046,-77.15154,7057,40.680301,-74.35601,1,144,LTL,227.1,70,2,Lancaster,151, $1.51 
05-06-2021,17601,41.146432,-77.42658,7057,40.7895,-74.01223,1,286,LTL,230.38,70,2,Lancaster,180, $1.28 
03-11-2020,17601,41.038555,-77.29872,7057,40.7885,-74.06,1,305,LTL,225.93,70,2,Lancaster,170, $1.33 
10-22-2020,17601,41.125166,-77.36332,7059,40.73276,-74.075485,1,981,LTL,223.95,70,2,Lancaster,174, $1.29 
12-22-2020,17601,41.072139,-76.81871,7068,40.7935,-74.16144,4,580,LTL,274.61,70,2,Lancaster,140, $1.96 
05-01-2020,17601,41.051654,-77.4631,7072,40.718772,-74.170091,1,178,LTL,224.22,70,2,Lancaster,174, $1.29 
06-26-2020,17601,41.108454,-77.49516,7072,40.79185,-74.245241,1,345,LTL,224.13,70,2,Lancaster,171, $1.31 
08-10-2020,17601,41.173254,-76.88449,7072,40.79185,-74.245241,1,382,LTL,200.41,70,2,Lancaster,140, $1.43 
06-24-2020,17601,41.271098,-76.90382,7072,40.79185,-74.245241,1,476,LTL,198.97,70,2,Lancaster,142, $1.40 
05-26-2020,17601,41.208834,-76.73877,7072,40.79185,-74.245241,1,730,LTL,193.94,70,2,Lancaster,133, $1.46 
04-13-2021,17601,41.241656,-76.747251,7072,40.79185,-74.245241,1,1986,LTL,241.6,70,2,Lancaster,134, $1.80 
03-02-2020,17601,41.349559,-76.5442,7072,40.79185,-74.245241,1,2058,LTL,409.39,70,2,Lancaster,126, $3.25 
01-28-2021,17601,41.218259,-77.12137,7073,40.79185,-74.245241,1,182,LTL,244.23,70,2,Lancaster,153, $1.60 
04-14-2021,17601,41.404439,-77.68536,7073,40.79185,-74.245241,1,362,LTL,202.84,70,2,Lancaster,184, $1.10 
12-03-2020,17601,41.280066,-76.71173,7073,40.79185,-74.245241,1,458,LTL,200.69,70,2,Lancaster,133, $1.51 
02-24-2021,17601,41.505366,-76.95432,7073,40.79185,-74.245241,1,554,LTL,226.65,70,2,Lancaster,149, $1.52 
12-11-2020,17601,41.351129,-77.79678,7073,40.79185,-74.245241,1,797,LTL,204.45,70,2,Lancaster,189, $1.08 
02-24-2021,17601,41.592461,-76.95078,7073,40.79185,-74.245241,1,816,LTL,226.65,70,2,Lancaster,151, $1.50 
11-03-2020,17601,41.084417,-77.46288,7073,40.669502,-74.19889,1,856,LTL,203.95,70,2,Lancaster,173, $1.18 
11-12-2020,17601,41.544194,-76.74643,7073,40.652302,-74.21692,1,1022,LTL,205.79,70,2,Lancaster,145, $1.42 
